Forecast_Day,Input_Steps,MAE,MSE,RMSE,SMAPE,R2
2024-04-01,48,37.16589277903239,2062.880853118218,45.418948172741935,86.59693505451162,-1.3000335141012065
2024-04-02,48,23.21885974884033,1036.5854919013943,32.19604776834254,67.07609465759971,-0.1442670800044037
2024-04-03,48,10.294387248357138,168.52674585423526,12.981785156681466,18.693593675400844,0.6659469321185325
2024-04-04,48,21.582978518803916,506.77312817739585,22.51162206899796,32.61625257910677,-3.0003132129674466
2024-04-05,48,18.33519646326701,699.6296864908909,26.450513917330433,44.4684338339572,0.05431873874991411
2024-04-06,48,17.77196959177653,628.4960055725641,25.069822607520862,56.37199368841578,0.3462433887602834
2024-04-07,48,11.94758129676183,325.0574981476921,18.029351018483503,75.19461534606236,0.7219650978625713
2024-04-08,48,11.58968395372232,273.51193323048795,16.538196190349417,66.1874847751584,0.7386005771620181
2024-04-09,48,11.069295377731322,175.8913971800015,13.262405407014276,35.62002411354815,0.7672165607462303
2024-04-10,48,14.691988274256389,445.64659787811735,21.11034338607777,27.18214884914389,0.593218878846606
2024-04-11,48,19.642429536183673,745.3734131499724,27.301527670626278,60.484882920170925,0.2957122718178359
2024-04-12,48,9.835511963367463,181.77079473053462,13.482239974519613,73.10314217479691,0.8754239036746397
2024-04-13,48,14.536057042678197,337.5231483471957,18.371803078282646,83.46962626269013,0.5520448897324529
2024-04-14,48,15.128879373868307,376.23724061467846,19.39683584027762,94.66326691244039,0.7299226568790995
2024-04-15,48,16.743282171885173,433.01208649267534,20.808942464543346,29.1816415511698,0.272900620795277
2024-04-16,48,12.982050307591754,248.41393425338742,15.761152694311017,27.843205173349155,0.34949805620399454
2024-04-17,48,11.662737776438396,221.0239880503037,14.866875530867395,15.58540822411926,0.0005069408680676846
2024-04-18,48,20.203699251810708,566.5493811552509,23.802297812506485,34.412433667402404,0.21201947343832706
2024-04-19,48,13.924041793346404,323.60733488984835,17.989089329086347,30.201835733376143,0.08619391330786452
2024-04-20,48,15.061946541468302,310.8268985035028,17.63028356276503,39.141141978002665,0.6314415451199968
2024-04-21,48,6.650218037764231,74.48382216682296,8.630401043220585,40.192903236985615,0.9236700050233988
2024-04-22,48,24.74561273018519,922.9374110343655,30.379884974014722,46.932558967438105,-0.1690498229230588
2024-04-23,48,19.428878771464028,553.7601257485975,23.532108399984,22.993451711614007,-0.48289423437624635
2024-04-24,48,18.950499763488768,719.115671288565,26.816332174414995,27.053207698062614,0.26565178187006877
2024-04-25,48,15.297557074228925,339.0774756844946,18.41405647011257,17.933366036197604,-0.5742553646735442
2024-04-26,48,10.943784910837811,228.34007632180035,15.110925726830914,13.612445839352027,0.676716572016316
2024-04-27,48,21.788523317972817,765.183940021055,27.661958354770455,55.60124201561334,0.38798341934057523
2024-04-28,48,34.557518960634866,1670.2271963161638,40.868413185688574,126.31319810593456,-0.8233007139195807
2024-04-29,48,18.3935395604372,651.9206612114266,25.532737048961803,64.77053586176636,0.48584063918038656
2024-04-30,48,9.863272218704223,147.16455641467138,12.13113994704007,18.182407738072605,0.8384592888347575
2024-05-01,48,52.42923146565755,3783.2525766973154,61.50815048997421,110.27493557273067,-1.986071098102351
2024-05-02,48,29.943840446323154,1210.149781763669,34.78720715670732,87.77878445855215,-0.20751214778199834
2024-05-03,48,16.125662406285603,382.4499860735288,19.55632854278964,60.92439058841025,0.7170994271623894
2024-05-04,48,23.106642328898115,726.2596995989343,26.94920591778048,71.95577617927937,0.22691244808615119
2024-05-05,48,20.53388387521108,736.4000709750259,27.136692336668922,83.17724772402543,0.5353411416569273
2024-05-06,48,21.45935373306274,804.1597199763529,28.35771006228029,51.83785619065221,-0.3621020904976233
2024-05-07,48,8.607216504414879,100.99388634983008,10.049571451053525,9.48587487897104,0.7287369091052385
2024-05-08,48,9.848210945129395,117.77164172109848,10.852264359160188,10.71488620025895,0.7658238983543704
2024-05-09,48,16.121198514302574,376.2505373245388,19.397178591860694,19.276576493349015,0.06285193380013543
2024-05-10,48,16.174763724803924,548.7480249747654,23.425371394596187,35.06901981817466,-0.04139723217531044
2024-05-11,48,17.46923026720683,472.7052181824234,21.741785073503586,75.06094500865096,0.737098109488554
2024-05-12,48,24.641176744103433,903.0303960693717,30.050464157303324,83.06200503519324,0.34490458402747637
2024-05-13,48,14.523084926605227,320.28184059420545,17.896419770283817,17.8466080753218,0.24107667320962212
2024-05-14,48,18.33916962941488,533.401235558969,23.09548084710446,18.23912834280468,0.16672933839356496
2024-05-15,48,12.454728520711262,207.2098650778397,14.394786037931919,12.50845929139611,0.5844326319302421
2024-05-16,48,16.560461540222168,320.6875458313626,17.907750998697814,18.83549313434014,0.26748189883884477
2024-05-17,48,11.97187405904134,235.72909694885666,15.353471820694388,13.23712603323508,0.7629399010984426
2024-05-18,48,13.935341435174147,385.20459639627416,19.62662977681788,31.3613154141049,0.7814354745796428
2024-05-19,48,33.718339796562994,1378.5245655437072,37.12848725094664,81.89801736691959,-0.7109753152465985
2024-05-20,48,7.599873561859131,134.72607709678167,11.607156288117329,7.915580757076817,0.7306645439965217
2024-05-21,48,12.64212075551351,299.6718741429873,17.31103330662232,15.97193542113339,0.6485040541730164
2024-05-22,48,29.294112175504367,1003.7211072511872,31.681557841292893,51.83769085206568,-0.9805791274034241
2024-05-23,48,16.08705918312073,310.1492201340064,17.61105391888874,22.959019116259206,0.6249249813073035
2024-05-24,48,15.397644605636598,572.2717770388413,23.92220259589073,26.898660746591744,-0.1772849308618185
2024-05-25,48,26.785565471649168,1194.5436761859398,34.56217117291592,65.44909930890056,0.44000326315294547
2024-05-26,48,24.679844182332356,1041.1626435309445,32.26705198078908,79.28995223664917,0.5382035191698873
2024-05-27,48,9.689924176534017,156.34504066745458,12.50380104877931,10.827421741491277,0.8000060993828481
2024-05-28,48,9.8269962310791,244.3513345734444,15.631741252126853,8.9840915143911,0.7970505905979263
2024-05-29,48,7.382069466908774,112.3348921882257,10.598815603086305,6.909390949045297,0.8921954368934379
2024-05-30,48,8.295665365854898,104.83835356508148,10.23906018954286,8.748218840085741,0.802713773170784
2024-05-31,48,10.02945420583089,177.32254327558846,13.31625109689617,10.140033128395643,0.5124124954466389
2024-06-01,48,16.738839813868207,326.2204885619785,18.06157491920288,32.72767671303541,0.7978979801790409
2024-06-02,48,21.73062410672506,659.0446431423655,25.671864816221778,83.7665229049623,0.7111141237482391
2024-06-03,48,27.470848986307782,1169.4462314702348,34.197167009421044,23.51977370669025,0.28220664022385333
2024-06-04,48,21.21448960622152,824.6502475073361,28.71672417786082,17.065880564054247,0.6184757408831996
2024-06-05,48,13.312825622558591,362.53196879818597,19.040272287921358,11.749388148342883,0.7840262223268354
2024-06-06,48,14.856735687255858,348.53066557382596,18.668976018352637,14.129706788826674,0.8066739083666551
2024-06-07,48,9.143375320434572,140.34633744324293,11.84678595414144,11.402748395457516,0.9187590301400318
2024-06-08,48,18.733603201707204,471.04391827835553,21.70354621434837,39.079867049387325,0.7703995934355656
2024-06-09,48,17.74408709069093,618.8608445282458,24.876913886739363,48.22252645085268,0.6181902283337442
2024-06-10,48,14.249600340525307,388.3052326898214,19.7054620014305,14.716254065767032,0.5478173377024412
2024-06-11,48,15.967718537648517,377.2976603916077,19.42415147159864,15.742728049751609,0.7230560325848967
2024-06-12,48,13.220790303548176,295.0498314315937,17.177014625120215,12.458685684643456,0.7750626902789048
2024-06-13,48,15.599916559855144,394.31724850672964,19.857423007699907,14.738301718817684,0.6573517813626186
2024-06-14,48,17.463811937967932,481.4080077520021,21.941012003825215,18.978269756311146,0.06840169584180056
2024-06-15,48,40.962650132179256,2632.6104708485936,51.30897066643019,65.41912831225788,-2.7733735160198427
2024-06-16,48,24.03230370203654,867.8917764559392,29.46000299483928,40.46367638959149,0.6254209003950165
2024-06-17,48,23.091253395080567,1489.0736007501384,38.58851643624225,16.033115739443982,0.5687359055702499
2024-06-18,48,14.574273211161293,424.1933403743578,20.595954466213936,14.76082183106669,0.6918244935014005
2024-06-19,48,15.075900713602701,315.10411795872346,17.751172298153254,19.0358451577872,0.827245138929214
2024-06-20,48,13.518878548940023,303.53430903747454,17.422236051594368,14.355971949641663,0.7541262611525613
2024-06-21,48,16.80871213277181,696.2355338935507,26.386275483545433,12.808651412048588,0.6510470023913908
2024-06-22,48,19.86662925720215,793.172854513285,28.163324635299805,30.85081847186011,0.6932730678786119
2024-06-23,48,39.63812888808548,2852.4759618817175,53.408575733506666,84.73032491269264,-0.5453449307935654
2024-06-24,48,22.712389698028563,907.5684889807571,30.12587739769179,18.603804449702128,0.7198874705354235
2024-06-25,48,27.72727066040039,1458.789638932938,38.19410476674297,21.346715909428315,0.5891467189629779
2024-06-26,48,21.7968509165446,1465.6391204790273,38.28366649733313,15.240863772541424,0.5781512053975715
2024-06-27,48,19.19218700408936,1200.9464755572824,34.6546746566359,12.18173621295172,0.6901464253613416
2024-06-28,48,22.487821273803707,1425.4204112735142,37.75474024905368,18.736670899299668,-1.2774059475790285
2024-06-29,48,12.461689704259237,266.295365807402,16.3185589378291,38.44557375009134,0.8836208877578133
2024-06-30,48,34.2577121035258,1628.0682854314703,40.34932819058417,92.43751056848212,0.3035169138743985
