,FeatureSet,EncoderLength,Period,Learning_Rate,Batch_Size,Dropout,MAE,MSE,RMSE,SMAPE,R2
15,M34,168,Feb2024_1year_train,0.001,128,0.6,10.605192443983896,218.183754084398,14.771044447986675,17.970695462325732,0.42698427455673404
51,M55,168,Feb2024_1year_train,0.001,128,0.6,11.81821058727446,252.42970817060967,15.888036636746834,19.58366186009571,0.3370441673908422
3,M29,168,Feb2024_1year_train,0.001,128,0.6,12.08927910153828,272.7884471489496,16.51630852063952,18.822901349807804,0.28357603621059413
43,M53,168,Mar2024_1year_train,0.001,128,0.6,13.960674321962442,345.0521570551584,18.5755795886739,31.21253552995601,0.5256247791872104
55,M55,168,Mar2024_1year_train,0.001,128,0.6,14.681707352175229,378.1678137568232,19.446537320480044,32.80154061142594,0.48009761281826757
40,M53,168,Jan2024_1year_train,0.001,128,0.6,14.983783009294152,344.503533257711,18.5608063741237,16.688778203334834,0.33913017135981083
56,M55,168,May2024_1year_train,0.001,128,0.6,15.109409128548442,409.5654082103421,20.237722406692463,27.35757707080741,0.6502569062169599
44,M53,168,May2024_1year_train,0.001,128,0.6,15.693401424988455,424.5733996460829,20.605178952051908,27.279353185919707,0.6374410256494545
32,M4,168,May2024_1year_train,0.001,128,0.6,18.613913463233175,568.9044814428524,23.851718626607443,29.84010894788975,0.5141913613352003
27,M4,168,Feb2024_1year_train,0.001,128,0.6,20.1832992055681,595.4924939448522,24.402714888816206,28.450354287076905,-0.5639412056400661
4,M29,168,Jan2024_1year_train,0.001,128,0.6,20.46020846629488,588.0455697929698,24.24965092105389,23.478186963967953,-0.1280626682310051
68,M61,168,May2024_1year_train,0.001,128,0.6,20.632284766522005,585.8030826696062,24.20336924210359,34.56686265319806,0.4997610189401329
52,M55,168,Jan2024_1year_train,0.001,128,0.6,21.086531280296434,643.3080200135227,25.363517500802658,21.69859752965668,-0.23407402219924878
42,M53,168,Jun2024_1year_train,0.001,128,0.6,21.18915989933592,852.2633557954567,29.193549900542358,23.269963076749907,0.6140390566689256
66,M61,168,Jun2024_1year_train,0.001,128,0.6,21.38794475056908,932.74071863067,30.540804158218723,24.439555696365794,0.5775936097710177
6,M29,168,Jun2024_1year_train,0.001,128,0.6,21.580320349895594,948.3616934544069,30.79548170518537,23.977665315436397,0.5705194042009645
7,M29,168,Mar2024_1year_train,0.001,128,0.6,21.804602675783464,822.8746850346276,28.68579238986833,37.86644309135389,-0.13128219149824494
67,M61,168,Mar2024_1year_train,0.001,128,0.6,21.81334751488506,773.9310518471334,27.81961631380155,38.15863201162484,-0.06399483703320308
31,M4,168,Mar2024_1year_train,0.001,128,0.6,22.09291221756866,813.9915916857757,28.530537879363152,38.37206229789027,-0.11906977872903957
20,M34,168,May2024_1year_train,0.001,128,0.6,22.193927945922248,700.007754252042,26.45765965182941,38.87557075250672,0.40223741376495226
30,M4,168,Jun2024_1year_train,0.001,128,0.6,22.209500091148147,1048.1130042342231,32.374573421656436,24.660850474482356,0.5253454450658153
14,M34,168,Dec2024_1year_train,0.001,128,0.6,23.001184012095134,1155.8160065548843,33.997294106368,18.769259572159854,0.488280250434198
18,M34,168,Jun2024_1year_train,0.001,128,0.6,23.858061147747616,1034.9202184751687,32.17017591613649,25.52630978371991,0.5313200068043954
70,M61,168,Oct2024_1year_train,0.001,128,0.6,24.104107115648798,1061.2855576413276,32.57737800439636,37.0130815349641,0.622440194852698
11,M29,168,Sep2024_1year_train,0.001,128,0.6,24.172840700438528,1788.4920419436662,42.29056681984372,30.746234756097422,0.43379883746952674
62,M61,168,Dec2024_1year_train,0.001,128,0.6,24.322243699059968,1306.3704603564925,36.14374718200221,19.417973762322998,0.4216245829590508
28,M4,168,Jan2024_1year_train,0.001,128,0.6,24.393883443777113,784.7586880847434,28.01354472544921,30.33102249005347,-0.5054224112427321
8,M29,168,May2024_1year_train,0.001,128,0.6,24.461346728006998,1063.3100472722012,32.608435216554035,33.149135086801195,0.09200011004694109
46,M53,168,Oct2024_1year_train,0.001,128,0.6,24.532856672328453,1028.6208070622824,32.072118842731335,40.78371465541633,0.6340609097253465
36,M53,168,Apr2024_1year_train,0.001,128,0.6,25.068087463089913,964.3241348334931,31.053568793835808,50.96775755937632,0.1475177562628347
39,M53,168,Feb2024_1year_train,0.001,128,0.6,25.160311686197918,855.2124062773214,29.244014879583847,33.129771059204806,-1.2460432924878488
2,M29,168,Dec2024_1year_train,0.001,128,0.6,25.300753255927045,1144.495190953158,33.830388572305196,22.19347270859023,0.49329236732109194
34,M4,168,Oct2024_1year_train,0.001,128,0.6,25.329370766890815,1125.0786837542507,33.5421925901431,43.32273814578877,0.5997453413408286
35,M4,168,Sep2024_1year_train,0.001,128,0.6,25.74598626099301,1780.25095165022,42.193020176922865,33.724361216090394,0.43640780345608876
58,M55,168,Oct2024_1year_train,0.001,128,0.6,25.957265305449997,1138.8299905317979,33.74655523948775,39.2884482188349,0.5948532171900106
24,M4,168,Apr2024_1year_train,0.001,128,0.6,26.120084427486766,1049.5707079233323,32.3970786942794,51.9574995873371,0.07215804340956433
54,M55,168,Jun2024_1year_train,0.001,128,0.6,26.283358466986453,1105.050784473964,33.24230413906299,27.75038947898554,0.49956027053839847
10,M29,168,Oct2024_1year_train,0.001,128,0.6,26.746478971951248,1162.515264876164,34.095678096734844,41.2335978435748,0.5864270141743078
63,M61,168,Feb2024_1year_train,0.001,128,0.6,27.15200884864444,925.8497576067139,30.427779373571017,34.95717842378902,-1.4315580815483835
37,M53,168,Aug2024_1year_train,0.001,128,0.6,27.54193078759788,2192.1540789493583,46.82044509559214,24.164166823459706,0.6885962676444214
50,M55,168,Dec2024_1year_train,0.001,128,0.6,27.89487476100092,1453.2441651726601,38.12143970487815,24.94933721637993,0.35659851045262025
60,M61,168,Apr2024_1year_train,0.001,128,0.6,28.491805065177157,1162.5681608785283,34.09645378743262,70.4930145344774,-0.027734014408176577
64,M61,168,Jan2024_1year_train,0.001,128,0.6,28.876154334026833,1034.7900988783138,32.1681534887894,27.996567413178003,-0.9850639813691047
12,M34,168,Apr2024_1year_train,0.001,128,0.6,29.492663123386375,1157.7921854309486,34.02634546099461,72.0559023810295,-0.023511954502676735
1,M29,168,Aug2024_1year_train,0.001,128,0.6,30.307089003963746,2569.8426005649903,50.69361498813229,26.936900802380197,0.6349441925332879
0,M29,168,Apr2024_1year_train,0.001,128,0.6,31.20359885292523,1375.5035328287142,37.087781449268626,62.40443766359761,-0.2159732351163106
71,M61,168,Sep2024_1year_train,0.001,128,0.6,31.249268469548586,1796.0537528789014,42.37987438488818,35.535859926987015,0.43140494953385744
19,M34,168,Mar2024_1year_train,0.001,128,0.6,31.32775707493657,1294.8722974930492,35.98433405654534,47.500697286222,-0.7801811102703453
25,M4,168,Aug2024_1year_train,0.001,128,0.6,31.490752149664832,3286.4431644858255,57.32750792146668,26.297944773473,0.5331483870486611
38,M53,168,Dec2024_1year_train,0.001,128,0.6,32.88542666538902,1790.885982738048,42.31886083932373,30.644593442930855,0.20711279183681908
49,M55,168,Aug2024_1year_train,0.001,128,0.6,35.27545418528543,2754.3395655942045,52.48180223271876,33.298892645932995,0.6087357046947371
26,M4,168,Dec2024_1year_train,0.001,128,0.6,35.323581764248836,2024.5606176109961,44.99511770860252,32.51809842625605,0.10365694336359832
47,M53,168,Sep2024_1year_train,0.001,128,0.6,35.825354873519956,2331.400939465456,48.28458283412476,40.197829882817146,0.2619246318728897
16,M34,168,Jan2024_1year_train,0.001,128,0.6,36.342771118827486,1611.9939350318298,40.149644270302446,33.48220916081661,-2.092328678140385
69,M61,168,Nov2024_1year_train,0.001,128,0.6,37.00772057432116,4227.787297318208,65.02143721356987,23.438761539737555,0.4327448639361179
13,M34,168,Aug2024_1year_train,0.001,128,0.6,37.712282100630844,3540.8208815157113,59.504797130279435,37.37113701600321,0.49701307554301954
61,M61,168,Aug2024_1year_train,0.001,128,0.6,37.916298233529794,3550.8564512775956,59.58906318509795,35.577082383750316,0.4955874851111356
57,M55,168,Nov2024_1year_train,0.001,128,0.6,38.45077986117565,4654.5219763552395,68.22405716721367,25.74603907912944,0.37548856852743495
21,M34,168,Nov2024_1year_train,0.001,128,0.6,39.85583171990785,4805.433086895318,69.32123114093775,28.515255934448806,0.35524036384663993
23,M34,168,Sep2024_1year_train,0.001,128,0.6,41.01375956217448,2556.43610041211,50.561211421524604,42.718966109343924,0.1906829563439576
33,M4,168,Nov2024_1year_train,0.001,128,0.6,41.821831145069815,5077.867372270307,71.25915641003833,29.078054791118163,0.3186870235882775
22,M34,168,Oct2024_1year_train,0.001,128,0.6,42.34529939043349,2466.897160558008,49.66786849219532,50.777663328639136,0.12238397615744168
48,M55,168,Apr2024_1year_train,0.001,128,0.6,43.22664791251674,2330.0103791315464,48.27018105550824,65.99904931819184,-1.0597767951498085
17,M34,168,Jul2024_1year_train,0.001,128,0.6,43.32241281426471,7860.883951394868,88.66162614905542,24.68238107109944,0.4782515001187556
65,M61,168,Jul2024_1year_train,0.001,128,0.6,43.42221672168676,9405.496505582249,96.98193906899495,23.821556931020112,0.37573131434473706
45,M53,168,Nov2024_1year_train,0.001,128,0.6,47.396812069994034,5469.137779837009,73.95361911250191,35.8866583073802,0.26618907781347256
59,M55,168,Sep2024_1year_train,0.001,128,0.6,48.38811867482734,3219.9069521145066,56.74422395376032,47.351045352625626,-0.0193587764281542
9,M29,168,Nov2024_1year_train,0.001,128,0.6,48.606626606158564,5512.600944017401,74.24689181384902,36.32853514658725,0.2603574923109203
5,M29,168,Jul2024_1year_train,0.001,128,0.6,50.99699621394061,9276.652777038451,96.31538182989492,34.81492582650078,0.3842830271676829
29,M4,168,Jul2024_1year_train,0.001,128,0.6,51.73928500686867,11371.736237489675,106.63834318616205,32.37040221338549,0.24522657252781166
53,M55,168,Jul2024_1year_train,0.001,128,0.6,57.93679823446965,10831.341059918752,104.0737289613414,34.626239893341506,0.2810940875533524
41,M53,168,Jul2024_1year_train,0.001,128,0.6,61.20672475800998,11693.408495631522,108.13606473157566,45.858409209383225,0.22387629955893773
